pacman_x,pacman_y,ghost1_x,ghost1_y,ghost2_x,ghost2_y,ghost3_x,ghost3_y,ghost4_x,ghost4_y,ghost1_direction,ghost2_direction,ghost3_direction,ghost4_direction,nearest_pellet_x,nearest_pellet_y,possible_move_up,possible_move_down,possible_move_left,possible_move_right,move_made_up,move_made_down,move_made_left,move_made_right
180,540,505,320,435,260,405,360,425,520,2,-2,2,2,120,540,1,1,0,0,0,1,0,0
60,520,360,390,510,140,230,400,300,610,-1,2,2,-1,60,500,1,1,1,1,1,0,0,0
35,260,355,280,155,140,455,640,45,520,-2,-2,-2,2,20,260,0,0,1,1,0,0,1,0
145,140,287,400,272,220,480,547,420,552,2,-2,1,-1,160,140,0,0,1,1,0,0,0,1
165,140,277,400,282,220,480,537,420,562,2,-2,1,-1,200,140,0,0,1,1,0,0,0,1
120,630,70,520,480,430,105,520,320,460,2,-1,2,-2,120,620,1,1,0,0,1,0,0,0
170,640,60,570,450,460,135,460,420,385,-1,2,-2,1,180,640,0,0,1,1,0,0,0,1
120,620,20,615,420,405,320,520,277,280,-1,1,1,2,100,460,1,1,0,0,1,0,0,0
195,460,180,320,340,280,230,330,310,330,-1,-2,1,1,180,460,0,0,1,1,0,0,1,0
170,460,175,340,360,285,230,335,310,335,2,-1,-1,-1,160,460,0,0,1,1,0,0,1,0
120,105,20,80,460,80,230,350,310,350,-1,-2,-1,-1,120,100,1,1,0,0,1,0,0,0
20,165,50,220,150,160,180,330,310,340,2,2,1,1,20,160,1,1,0,0,1,0,0,0
180,190,132,80,300,280,360,332,310,342,-2,2,-1,-1,180,200,1,1,0,0,0,1,0,0
460,220,420,205,400,340,225,280,345,280,-1,-2,-2,-2,480,220,0,0,1,1,0,0,0,1
380,80,445,160,110,340,415,340,420,225,2,-2,-2,1,360,80,0,0,1,1,0,0,1,0
300,460,140,340,180,525,520,600,170,460,2,1,-1,2,300,480,0,1,0,1,0,1,0,0
375,520,240,160,135,340,475,460,180,570,-2,-2,2,1,360,540,0,0,1,1,0,0,1,0
450,580,35,80,310,520,20,600,375,340,-2,-2,-1,2,220,520,0,0,1,1,0,0,1,0
390,520,120,135,330,580,120,640,295,280,-1,2,-2,2,220,520,0,0,1,1,0,0,1,0
165,520,120,360,225,580,345,640,190,280,-1,2,-2,2,120,540,0,0,1,1,0,0,1,0
200,80,55,80,425,80,270,285,310,325,2,-2,1,1,220,80,0,0,1,1,0,0,0,1
320,490,365,460,320,415,325,400,225,280,2,-1,2,2,320,500,1,1,0,0,0,1,0,0
390,640,315,640,360,395,360,375,235,520,-2,-1,-1,-2,400,640,0,0,1,1,0,0,0,1
480,550,520,620,420,440,420,460,400,580,1,1,-2,-2,480,540,1,1,0,0,1,0,0,0
410,580,480,540,380,360,480,520,460,640,1,2,-2,-2,400,580,0,0,1,1,0,0,1,0
305,640,420,562,297,400,60,517,517,580,-1,2,1,2,280,640,0,0,1,1,0,0,1,0
170,580,300,640,220,520,200,460,420,560,2,2,-2,-1,160,580,0,0,1,1,0,0,1,0
60,420,120,550,70,520,240,610,230,640,1,2,-1,2,60,400,1,1,0,0,1,0,0,0
115,320,55,380,125,360,445,640,20,615,2,-2,-2,1,60,260,0,0,1,1,0,0,0,1
35,260,75,320,195,280,505,580,45,520,-2,-2,2,2,20,260,0,0,1,1,0,0,1,0
300,145,47,140,420,407,20,627,352,520,-2,-1,-1,2,300,140,1,1,0,0,1,0,0,0
445,260,240,157,497,380,120,542,437,460,-1,-2,1,-2,420,340,0,0,1,1,0,0,1,0
210,640,232,80,360,207,277,280,180,532,2,-1,2,1,220,640,0,0,1,1,0,0,0,1
95,520,180,155,360,335,180,340,295,520,-1,-1,-1,-2,100,460,0,0,1,1,0,0,1,0
120,275,120,150,420,210,230,340,310,340,1,1,-1,-1,120,260,1,1,0,0,1,0,0,0
240,150,120,105,425,160,295,280,310,345,1,2,-2,-1,240,160,1,1,0,0,0,1,0,0
120,210,85,160,300,145,275,400,310,345,-2,-1,2,1,100,220,1,1,0,0,0,1,0,0
390,160,310,280,285,280,320,80,320,280,2,2,2,2,440,160,0,0,1,1,0,0,0,1
440,220,360,300,360,325,470,160,190,400,-1,-1,-2,-2,420,220,0,0,1,1,0,0,1,0
360,165,185,400,420,140,420,285,315,460,2,1,-1,2,420,240,1,1,0,0,1,0,0,0
420,375,335,280,480,160,420,565,205,580,-2,2,-1,-2,420,380,1,1,0,0,0,1,0,0
70,460,500,520,275,640,225,280,210,640,2,2,2,2,60,460,0,0,1,1,0,0,1,0
60,640,385,520,20,640,50,340,60,580,2,1,2,1,80,640,0,0,1,1,0,0,0,1
390,640,300,600,180,400,425,340,285,400,-1,-2,2,-2,400,640,0,0,1,1,0,0,0,1
425,640,300,617,232,400,420,352,337,400,-1,-2,-1,-2,440,640,0,0,1,1,0,0,0,1
420,565,180,640,270,335,385,460,285,280,2,1,2,-2,220,520,1,1,0,0,1,0,0,0
420,545,350,520,225,280,360,565,120,575,-2,-2,-1,-1,120,540,1,1,0,0,0,1,0,0
165,520,310,280,420,175,515,580,240,605,2,1,2,1,120,540,0,0,1,1,0,0,1,0
155,520,300,280,420,165,505,580,240,595,2,1,2,1,120,540,0,0,1,1,0,0,1,0
85,580,180,300,475,80,420,525,175,520,-1,-2,1,2,520,140,0,0,1,1,0,0,0,1
20,510,120,505,380,160,280,640,20,630,-1,2,2,-1,520,140,1,1,0,0,1,0,0,0
505,160,420,500,360,365,120,305,420,395,1,1,1,1,520,140,0,0,1,1,0,0,0,1
480,385,520,350,360,190,360,170,310,340,-1,-1,-1,-1,480,400,1,1,0,0,0,1,0,0
475,520,502,580,480,477,477,460,420,617,2,-1,-2,-1,460,520,0,0,1,1,0,0,1,0
355,640,420,537,420,577,517,580,300,622,-1,-1,-2,1,280,640,0,0,1,1,0,0,1,0
60,470,140,580,120,560,140,640,380,460,2,1,2,2,60,460,1,1,0,0,1,0,0,0
120,265,20,355,145,360,325,640,155,580,1,-2,-2,2,60,260,1,1,0,0,1,0,0,0
65,260,45,320,180,335,385,640,120,605,-2,1,-2,-1,60,260,0,0,1,1,0,0,1,0
240,210,20,185,360,355,480,505,60,505,1,-1,1,1,240,220,1,1,0,0,0,1,0,0
480,515,300,170,470,520,270,305,50,260,1,2,1,2,220,640,1,1,0,0,0,1,0,0
30,520,317,140,422,520,340,280,20,242,-2,2,-2,1,60,540,0,0,1,1,0,0,0,1
20,615,400,140,400,580,352,400,20,160,-2,2,2,1,20,620,1,1,0,0,0,1,0,0
60,640,420,127,367,580,320,400,32,140,1,2,-1,-2,80,640,0,0,1,1,0,0,0,1
120,420,120,295,405,340,230,355,310,355,1,-2,-1,-1,120,400,1,1,0,0,1,0,0,0
20,145,30,220,130,160,180,310,310,320,2,2,1,-1,20,140,1,1,0,0,1,0,0,0
20,120,20,205,120,145,180,285,310,345,1,1,1,-1,20,100,1,1,0,0,1,0,0,0
240,245,120,150,270,287,360,390,310,320,-1,-1,-1,-1,300,220,1,1,0,0,0,1,0,0
260,280,137,160,270,320,342,400,302,340,-2,1,2,2,300,220,0,0,1,1,0,0,0,1
360,210,222,160,360,320,257,400,270,287,-2,-1,2,1,360,200,1,1,0,0,1,0,0,0
295,160,420,217,472,80,360,362,362,340,1,2,-1,-2,320,160,0,0,1,1,0,0,0,1
405,460,120,320,420,265,240,625,240,605,1,1,-1,-1,400,460,0,0,1,1,0,0,1,0
355,460,120,270,420,215,275,640,225,640,1,1,-2,2,340,460,0,0,1,1,0,0,1,0
515,520,120,147,420,117,420,527,152,520,-1,1,1,-2,500,520,0,0,1,1,0,0,1,0
240,615,300,80,520,215,195,580,355,580,-2,-1,2,2,240,600,1,1,0,0,1,0,0,0
165,520,385,80,440,220,360,520,300,610,-2,2,-2,-1,160,520,0,0,1,1,0,0,1,0
135,640,445,220,330,280,205,280,60,535,2,-2,2,1,140,640,0,0,1,1,0,0,0,1
170,640,427,220,347,280,180,290,22,520,2,-2,-1,2,180,640,0,0,1,1,0,0,0,1
260,640,420,182,360,312,180,380,87,460,1,-1,-1,-2,320,640,0,0,1,1,0,0,0,1
480,525,360,310,445,580,365,640,360,290,-1,-2,-2,-1,220,520,1,1,0,0,1,0,0,0
295,520,230,640,195,520,205,580,300,590,2,2,-2,1,220,520,0,0,1,1,0,0,1,0
145,520,80,640,120,445,295,640,340,520,2,1,-2,2,120,540,0,0,1,1,0,0,1,0
120,375,120,270,420,330,230,340,310,340,1,1,-1,-1,120,360,1,1,0,0,1,0,0,0
415,200,360,180,160,140,420,260,310,330,-1,-2,-2,-1,420,200,0,0,1,1,0,0,0,1
405,640,532,520,432,260,360,327,307,640,-2,-2,1,2,280,640,0,0,1,1,0,0,1,0
145,580,295,280,520,155,405,580,55,580,2,1,-2,2,140,580,0,0,1,1,0,0,1,0
520,210,135,580,215,140,85,260,180,355,-2,-2,2,-1,520,220,1,1,0,0,0,1,0,0
120,410,120,285,415,340,230,355,310,355,1,-2,1,1,120,400,1,1,0,0,1,0,0,0
80,80,20,155,120,95,225,280,310,325,1,1,-2,1,100,80,0,0,1,1,0,0,0,1
420,90,355,280,300,140,125,520,455,220,-2,1,2,-2,420,100,1,1,0,0,0,1,0,0
180,335,240,260,215,280,120,300,180,280,-1,2,-1,-1,180,520,1,1,0,0,0,1,0,0
420,80,120,265,420,340,520,625,180,565,1,-1,1,1,440,220,0,1,1,1,0,1,0,0
350,520,355,220,410,460,180,317,345,400,2,2,1,-2,340,520,0,0,1,1,0,0,1,0
225,640,142,520,420,497,180,457,480,577,2,1,-1,-1,240,640,0,0,1,1,0,0,0,1
240,635,132,520,420,487,172,460,487,580,2,1,2,-2,240,620,1,1,0,0,1,0,0,0
105,580,60,555,520,490,60,580,455,640,1,-1,1,2,100,580,0,0,1,1,0,0,1,0
55,580,70,340,345,640,345,280,50,640,2,2,2,2,260,640,0,0,1,1,0,0,0,1
60,560,15,340,290,640,270,287,20,615,2,2,-1,1,260,640,1,1,0,0,1,0,0,0
180,460,180,335,355,280,230,325,310,325,-1,-2,-1,-1,160,460,1,0,1,1,0,0,1,0
120,90,20,95,475,80,230,355,310,355,-1,-2,1,1,120,80,1,1,0,0,1,0,0,0
130,80,20,135,515,80,230,325,310,325,-1,-2,-1,-1,140,80,0,0,1,1,0,0,0,1
155,80,20,160,520,100,230,350,310,350,-2,-1,-1,-1,160,80,0,0,1,1,0,0,0,1
235,80,100,160,500,160,270,330,310,350,-2,2,1,-1,240,80,0,0,1,1,0,0,0,1
190,160,85,80,420,105,355,280,310,325,2,1,-2,-1,180,160,0,0,1,1,0,0,1,0
20,115,20,202,120,142,180,282,310,347,1,1,1,-1,20,100,1,1,0,0,1,0,0,0
420,145,180,385,190,400,375,160,445,160,-1,-2,-2,2,400,160,1,1,0,0,1,0,0,0
430,160,360,325,400,340,520,125,485,340,1,-2,-1,-2,400,160,0,0,1,1,0,0,1,0
360,535,120,210,350,280,420,490,240,280,1,-2,-1,2,360,540,1,1,0,0,0,1,0,0
220,580,95,80,475,220,465,640,120,465,-2,-2,2,-1,200,580,0,0,1,1,0,0,1,0
30,460,120,365,315,160,155,640,55,640,-1,2,2,-2,20,460,0,0,1,1,0,0,1,0
195,640,25,520,135,80,80,460,315,640,-2,2,-2,-2,200,640,0,0,1,1,0,0,0,1
325,640,60,550,120,130,210,400,380,640,-1,-1,-2,-2,340,640,0,0,1,1,0,0,0,1
395,520,352,640,67,340,267,400,305,280,-2,2,2,-2,220,520,0,0,1,1,0,0,1,0
120,580,120,215,420,135,285,520,150,520,1,1,-2,2,260,160,1,0,1,0,0,0,1,0
345,160,420,160,180,160,300,400,315,220,2,-2,-2,2,280,160,0,0,1,1,0,0,1,0
420,105,380,80,120,100,420,260,295,280,-2,-1,1,2,280,160,1,1,0,0,0,1,0,0
310,520,300,465,360,405,355,460,300,470,-1,-1,2,-1,280,160,0,0,1,1,0,0,0,1
420,340,355,280,420,95,425,640,110,640,2,1,-2,2,280,160,1,1,1,1,1,0,0,0
210,460,180,305,325,280,230,345,310,345,-1,-2,1,1,200,460,0,0,1,1,0,0,1,0
180,135,120,90,410,140,250,340,310,320,1,-2,-2,-1,180,120,1,1,0,0,1,0,0,0
375,640,300,640,360,380,360,360,220,520,-2,-1,-1,-2,380,640,0,0,1,1,0,0,0,1
260,640,415,460,375,580,520,345,495,580,2,2,-1,2,240,640,0,0,1,1,0,0,1,0
180,580,345,460,305,580,485,380,480,525,2,2,2,1,180,560,1,0,1,1,1,0,0,0
90,520,180,540,420,580,320,460,20,600,-1,2,-1,-1,80,520,0,0,1,1,0,0,1,0
120,275,20,365,420,365,520,605,220,465,1,1,1,1,60,260,1,1,0,0,1,0,0,0
300,155,42,140,297,280,180,557,82,640,-2,2,1,-2,300,140,1,1,0,0,1,0,0,0
420,355,180,277,217,400,120,422,300,582,-1,-2,1,1,420,360,1,1,0,0,0,1,0,0
120,585,240,607,47,640,367,360,372,360,-1,-2,-2,2,100,460,1,1,0,0,1,0,0,0
250,520,255,280,270,325,230,355,310,355,2,1,-1,-1,240,520,0,0,1,1,0,0,1,0
160,460,165,340,360,295,230,345,310,345,2,-1,-1,-1,140,460,0,0,1,1,0,0,1,0
120,145,60,80,420,80,230,330,310,330,2,-2,1,1,120,140,1,1,0,0,1,0,0,0
300,130,210,160,145,160,480,560,320,400,-2,-2,-1,2,300,120,1,1,0,0,1,0,0,0
360,180,95,80,430,160,515,640,25,580,2,2,2,2,420,260,1,1,0,0,0,1,0,0
420,240,120,85,510,80,335,640,135,640,-1,-2,2,-2,420,260,1,1,0,0,0,1,0,0
420,445,20,190,420,175,360,530,200,580,-1,-1,1,2,420,460,1,1,0,0,0,1,0,0
455,640,240,630,375,640,130,520,200,520,-1,-2,-2,-2,460,640,0,0,1,1,0,0,0,1
420,580,520,625,480,520,420,505,300,605,1,-2,1,-1,420,540,1,0,0,1,1,0,0,0
420,500,480,525,480,460,360,425,240,595,1,2,1,1,440,460,1,1,0,0,0,1,0,0
520,600,420,465,450,580,180,405,255,520,-1,-2,-1,-2,520,520,1,1,0,0,0,1,0,0
465,640,420,560,520,605,220,460,350,520,-1,-1,-2,-2,480,560,0,0,1,1,0,0,1,0
45,580,290,520,25,640,30,640,20,580,2,2,2,-2,60,580,0,0,1,1,0,0,0,1
425,580,120,160,225,460,360,520,20,590,-1,-2,-1,1,480,560,0,0,1,1,0,0,0,1
520,520,120,315,320,520,300,615,120,535,-1,-2,-1,1,520,500,1,0,1,0,1,0,0,0
250,80,5,80,475,80,315,280,310,355,2,-2,-2,1,260,80,0,0,1,1,0,0,0,1
480,545,520,617,442,460,422,460,402,580,1,-2,-2,-2,480,540,1,1,0,0,1,0,0,0
470,520,500,580,480,440,480,460,420,620,2,1,1,-1,460,520,0,0,1,1,0,0,1,0
120,550,420,360,360,460,320,400,60,580,2,2,2,2,120,540,1,1,0,0,1,0,0,0
20,260,360,290,520,350,470,640,110,460,-1,1,-2,2,20,240,1,0,0,1,1,0,0,0
240,195,220,407,360,387,432,520,20,627,-1,-1,2,-1,240,200,1,1,0,0,0,1,0,0
300,200,220,460,320,400,420,560,60,640,2,-1,-1,-2,300,180,1,1,0,0,1,0,0,0
60,485,490,640,320,447,320,510,360,570,-2,-1,-1,1,80,460,1,1,0,0,1,0,0,0
120,200,115,80,420,135,230,335,310,335,2,1,-1,-1,120,180,1,1,0,0,1,0,0,0
240,80,105,160,495,160,270,325,310,355,-2,2,1,-1,240,100,0,1,1,0,0,1,0,0
240,85,110,160,490,160,270,320,310,360,-2,2,1,1,240,100,1,1,0,0,0,1,0,0
420,160,460,220,420,250,520,180,240,80,2,-1,1,2,400,160,1,1,1,1,0,0,1,0
410,160,445,220,420,265,520,175,235,80,2,-1,1,2,400,160,0,0,1,1,0,0,1,0
520,205,270,287,270,325,492,80,120,87,-1,1,2,-1,520,200,1,1,0,0,1,0,0,0
155,520,180,290,120,260,100,580,70,640,-1,-1,2,-2,120,520,0,0,1,1,0,0,1,0
120,495,180,350,120,320,40,580,130,640,-1,-1,2,-2,120,480,1,1,0,0,1,0,0,0
515,460,305,580,435,640,520,615,155,520,-2,-2,-1,2,420,320,0,0,1,1,0,0,1,0
420,390,310,520,500,580,380,640,50,580,2,2,2,2,420,320,1,1,0,0,1,0,0,0
25,640,60,545,105,580,45,580,180,535,-1,2,2,1,80,580,0,0,1,1,0,0,0,1
120,640,20,600,60,530,30,640,120,540,-1,1,-2,-1,120,580,0,0,1,1,0,0,0,1
180,530,240,610,140,520,220,580,50,460,1,-2,2,-2,120,540,1,1,0,0,1,0,0,0
120,495,315,520,355,580,360,525,25,580,-2,2,-1,2,120,540,1,1,0,0,0,1,0,0
120,395,120,290,420,350,230,320,310,320,1,1,-1,-1,120,380,1,1,0,0,1,0,0,0
120,335,90,260,420,290,230,340,310,340,2,1,1,1,120,320,1,1,0,0,1,0,0,0
120,330,85,260,420,285,230,335,310,335,2,1,1,1,120,320,1,1,0,0,1,0,0,0
330,580,360,535,420,445,415,460,180,395,-1,1,-2,-1,320,580,0,0,1,1,0,0,1,0
30,320,60,455,285,280,240,585,220,515,1,-2,-1,-1,40,320,0,0,1,1,0,0,0,1
55,260,60,320,420,360,400,640,120,630,-2,1,-2,-1,40,260,0,0,1,1,0,0,1,0
190,140,20,240,420,200,480,560,60,550,1,2,1,1,200,140,0,0,1,1,0,0,0,1
280,220,20,155,360,225,525,520,5,520,1,-1,-2,2,300,220,0,0,1,1,0,0,0,1
300,205,22,140,360,242,2,520,527,520,-2,-1,-2,2,300,200,1,1,0,0,1,0,0,0
420,285,12,80,180,327,67,640,322,460,2,-1,-2,2,420,340,1,1,0,0,0,1,0,0
425,460,462,80,122,360,157,640,347,520,2,2,-2,-2,100,460,0,0,1,1,0,0,0,1
455,460,447,80,120,347,172,640,360,522,2,1,-2,-1,100,460,0,0,1,1,0,0,0,1
105,220,110,160,290,160,250,400,310,320,-2,2,2,-1,100,220,0,0,1,1,0,0,1,0
520,105,482,160,507,220,182,280,180,402,-2,-2,-2,-1,520,100,1,1,0,0,1,0,0,0
495,80,507,160,520,207,207,280,180,427,-2,1,-2,-1,480,80,0,0,1,1,0,0,1,0
290,160,450,220,505,80,350,280,240,510,2,2,-2,-1,280,160,0,0,1,1,0,0,1,0
420,325,195,280,300,255,480,570,490,640,2,-1,-1,-2,420,340,1,1,0,0,0,1,0,0
90,460,160,520,30,340,60,535,247,520,2,-2,1,2,20,480,0,0,1,1,0,0,0,1
305,460,360,535,265,520,260,520,345,280,-1,-2,-2,2,220,520,0,0,1,1,0,0,0,1
340,460,360,580,310,520,305,520,277,280,2,-2,-2,2,220,520,0,0,1,1,0,0,1,0
300,500,300,600,360,550,385,520,270,305,-1,-1,-2,1,220,520,1,1,0,0,0,1,0,0
500,640,245,280,270,335,90,460,120,450,2,1,-2,1,520,640,0,0,1,1,0,0,0,1
110,200,180,165,385,200,230,345,310,345,1,2,-1,-1,120,200,0,0,1,1,0,0,0,1
385,200,360,150,130,140,420,290,310,340,-1,-2,1,1,400,200,0,0,1,1,0,0,0,1
430,460,480,435,360,315,360,295,305,340,-1,-1,-1,2,420,460,0,0,1,1,0,0,1,0
380,640,305,640,360,385,360,365,225,520,-2,-1,-1,-2,400,640,0,0,1,1,0,0,0,1
520,585,500,640,400,460,380,460,360,580,-2,-2,-2,-2,520,580,1,1,0,0,1,0,0,0
295,640,420,570,520,630,310,400,220,467,-1,-1,2,1,280,640,0,0,1,1,0,0,1,0
60,395,120,520,420,620,180,640,210,400,2,1,-2,-2,60,380,1,1,0,0,1,0,0,0
420,290,230,80,250,280,420,430,120,320,-2,2,-1,1,420,340,1,1,0,0,0,1,0,0
525,520,360,117,162,360,480,382,20,252,-1,2,1,1,220,640,0,0,1,1,0,0,0,1
20,580,425,140,120,405,520,335,20,165,-2,-1,1,1,20,600,0,1,0,1,0,1,0,0
230,160,120,85,420,145,315,280,310,355,1,1,-2,1,220,160,0,0,1,1,0,0,1,0
240,270,180,300,180,325,480,340,270,330,-1,-1,-2,1,300,220,1,1,0,0,0,1,0,0
300,275,180,375,180,400,517,340,270,292,-1,-2,-2,1,300,220,1,1,0,0,1,0,0,0
410,80,260,280,235,280,190,160,470,220,2,2,-2,-2,420,80,0,0,1,1,0,0,0,1
420,140,180,360,180,385,350,160,470,160,-1,-1,-2,2,420,160,1,1,0,0,0,1,0,0
520,210,537,340,22,340,420,280,107,340,-2,-2,-1,-2,420,240,1,1,0,0,0,1,0,0
300,515,45,460,280,280,360,435,45,160,2,-2,-1,-2,300,520,1,1,0,0,0,1,0,0
360,550,60,530,360,335,420,510,120,220,-1,-1,-1,-1,360,560,1,1,0,0,0,1,0,0
120,480,30,580,180,315,20,610,140,640,2,-1,1,2,120,500,1,1,0,0,0,1,0,0
165,640,180,640,240,475,120,490,60,580,-2,-1,1,1,160,640,0,0,1,1,0,0,1,0
225,640,255,400,20,520,20,635,115,580,2,1,-1,2,320,640,0,0,1,1,0,0,0,1
240,580,232,280,120,465,180,640,20,510,-2,-1,-2,1,320,640,0,1,1,0,0,1,0,0
240,630,245,280,85,580,330,640,120,460,2,2,-2,-1,320,640,1,1,0,0,0,1,0,0
505,580,300,630,50,460,305,640,95,580,-1,-2,-2,-2,500,580,0,0,1,1,0,0,1,0
120,455,140,360,360,340,230,330,310,330,2,-1,1,1,120,440,1,1,0,0,0,1,0,0
180,150,120,105,395,140,235,340,310,335,1,-2,-2,1,180,140,1,1,0,0,1,0,0,0
480,560,520,625,420,445,415,460,395,580,1,1,-2,-2,480,540,1,1,0,0,1,0,0,0
200,520,420,342,202,280,382,200,202,280,1,2,2,-2,120,520,0,0,1,1,0,0,1,0
195,520,420,340,200,280,380,200,210,280,1,2,2,-2,120,520,0,0,1,1,0,0,1,0
60,490,375,200,195,460,320,405,180,335,2,2,-1,-1,60,480,1,1,0,0,1,0,0,0
60,455,360,180,160,460,320,440,180,370,1,2,-1,-1,60,440,1,1,0,0,1,0,0,0
65,260,120,140,340,280,520,600,90,640,1,-2,1,2,60,260,0,0,1,1,0,0,1,0
220,140,455,80,425,260,85,520,25,520,2,-2,-2,2,240,140,0,0,1,1,0,0,0,1
260,220,420,105,485,260,120,545,505,520,-1,-2,-1,2,280,220,0,0,1,1,0,0,0,1
275,220,420,112,492,260,120,552,497,520,-1,-2,-1,2,280,220,0,0,1,1,0,0,0,1
520,195,520,205,405,140,20,635,505,640,-1,2,1,2,520,200,1,1,0,0,0,1,0,0
420,450,270,310,345,280,35,520,420,545,-1,-2,2,1,100,460,1,1,0,0,0,1,0,0
60,555,360,400,320,515,360,572,0,520,2,-1,1,-2,60,560,1,1,0,0,0,1,0,0
110,640,220,400,185,520,420,400,60,472,2,2,1,1,120,640,0,0,1,1,0,0,0,1
120,245,120,120,420,180,230,350,310,350,1,1,1,1,120,240,1,1,0,0,1,0,0,0
190,80,55,160,520,135,235,340,310,335,-2,-1,-2,1,200,80,0,0,1,1,0,0,0,1
120,160,25,160,300,85,335,400,310,325,-2,-1,2,1,100,160,1,1,1,1,0,0,1,0
110,160,92,160,20,132,292,280,310,337,-2,-1,-2,1,100,160,0,0,1,1,0,0,1,0
490,80,370,80,385,160,420,420,180,300,-2,-2,1,1,500,80,0,0,1,1,0,0,0,1
420,155,520,130,420,310,360,280,360,280,-1,-1,2,-1,400,160,1,1,0,0,0,1,0,0
470,220,452,160,270,332,262,280,397,340,2,-1,2,-2,480,220,0,0,1,1,0,0,0,1
205,160,295,160,470,160,420,515,65,580,2,2,-1,2,420,260,0,0,1,1,0,0,1,0
420,340,110,80,420,195,300,640,180,580,-2,-1,1,1,420,320,1,1,1,1,1,0,0,0
420,385,235,80,420,320,360,575,245,520,-2,-1,1,-2,420,400,1,1,0,0,0,1,0,0
300,625,185,280,360,560,345,580,20,595,2,-1,-2,1,300,640,1,1,0,0,0,1,0,0
190,580,180,410,300,635,157,520,120,560,-1,-1,2,1,180,580,0,0,1,1,0,0,1,0
225,460,225,520,210,520,360,385,240,635,-2,-2,1,-1,100,460,0,0,1,1,0,0,1,0
25,460,355,580,360,570,270,310,45,640,2,-1,1,2,20,460,0,0,1,1,0,0,1,0
80,460,280,640,295,640,180,295,70,580,2,2,-1,-2,120,480,0,0,1,1,0,0,0,1
85,460,245,640,260,640,180,330,105,580,2,2,-1,-2,120,480,0,0,1,1,0,0,1,0
105,640,120,545,60,580,460,340,315,520,-1,1,2,-2,120,640,0,0,1,1,0,0,0,1
420,505,185,640,300,280,340,580,435,640,-2,-2,2,-2,420,300,1,1,0,0,1,0,0,0
420,220,210,460,520,175,480,555,420,380,-2,1,1,1,120,480,1,1,0,1,0,1,0,0
425,340,315,520,420,210,490,460,355,400,-2,-1,2,2,120,480,0,0,1,1,0,0,0,1
25,640,45,580,60,550,250,520,135,520,2,-1,2,2,120,500,0,0,1,1,0,0,0,1
345,640,255,640,290,520,310,640,105,640,-2,-2,-2,-2,120,500,0,0,1,1,0,0,0,1
440,580,520,590,485,520,475,580,420,640,1,-2,2,-2,120,500,0,0,1,1,0,0,1,0
420,565,495,580,520,520,440,580,455,640,2,1,2,-2,120,500,1,1,0,0,1,0,0,0
420,535,465,580,520,490,420,570,485,640,2,1,1,-2,120,500,1,1,0,0,1,0,0,0
